Timestamp,AX Offset,AY Offset,AZ Offset
2025-06-18 16:36:27.706,0.0,0.0,0.0
Timestamp,AX Offset,AY Offset,AZ Offset
2025-06-18 16:39:51.706,0.0,0.0,0.0
Timestamp,AX Offset,AY Offset,AZ Offset
2025-06-18 16:41:09.278,0.0,0.0,0.0
Timestamp,AX Offset,AY Offset,AZ Offset
2025-06-18 16:49:55.867,0.0,0.0,0.0
Timestamp,AX Offset,AY Offset,AZ Offset
2025-06-18 16:53:39.603,0.0,0.0,0.0
