Timestamp,AX,AY,AZ
2025-06-18 16:34:09.386,0.08,0.39,9.79
2025-06-18 16:34:09.404,0.08,0.39,9.8
2025-06-18 16:34:09.423,0.08,0.39,9.79
2025-06-18 16:34:09.441,0.09,0.39,9.79
2025-06-18 16:34:09.460,0.09,0.39,9.79
2025-06-18 16:34:09.488,0.08,0.39,9.8
2025-06-18 16:34:09.507,0.08,0.38,9.79
2025-06-18 16:34:09.525,0.08,0.38,9.8
2025-06-18 16:34:09.562,0.08,0.39,9.8
2025-06-18 16:34:09.581,0.08,0.39,9.8
2025-06-18 16:34:09.609,0.08,0.38,9.8
2025-06-18 16:34:09.627,0.08,0.38,9.8
2025-06-18 16:34:09.646,0.09,0.38,9.79
2025-06-18 16:34:09.664,0.09,0.38,9.79
2025-06-18 16:34:09.702,0.08,0.39,9.8
2025-06-18 16:34:09.730,0.08,0.39,9.8
2025-06-18 16:34:09.767,0.09,0.38,9.8
2025-06-18 16:34:09.805,0.09,0.39,9.8
2025-06-18 16:34:09.824,0.08,0.38,9.79
2025-06-18 16:34:09.852,0.08,0.38,9.8
2025-06-18 16:34:09.870,0.08,0.38,9.8
2025-06-18 16:34:09.889,0.08,0.39,9.8
2025-06-18 16:34:09.907,0.08,0.39,9.8
2025-06-18 16:34:09.926,0.08,0.38,9.79
2025-06-18 16:34:09.945,0.08,0.38,9.79
2025-06-18 16:34:09.972,0.09,0.39,9.79
2025-06-18 16:34:09.991,0.09,0.39,9.79
2025-06-18 16:34:10.290,0.09,0.38,9.79
2025-06-18 16:34:10.480,0.08,0.39,9.79
2025-06-18 16:34:10.860,0.08,0.39,9.79
2025-06-18 16:34:10.114,0.09,0.38,9.79
2025-06-18 16:34:10.132,0.08,0.38,9.79
2025-06-18 16:34:10.151,0.09,0.38,9.79
2025-06-18 16:34:10.169,0.08,0.39,9.8
2025-06-18 16:34:10.188,0.08,0.39,9.8
2025-06-18 16:34:10.206,0.08,0.39,9.79
2025-06-18 16:34:10.253,0.08,0.39,9.79
2025-06-18 16:34:10.272,0.08,0.39,9.79
2025-06-18 16:34:10.290,0.08,0.38,9.79
2025-06-18 16:34:10.309,0.08,0.38,9.79
2025-06-18 16:34:10.327,0.08,0.38,9.79
2025-06-18 16:34:10.355,0.08,0.38,9.79
2025-06-18 16:34:10.392,0.08,0.38,9.79
2025-06-18 16:34:10.411,0.09,0.38,9.79
2025-06-18 16:34:10.449,0.09,0.38,9.8
2025-06-18 16:34:10.477,0.08,0.38,9.79
2025-06-18 16:34:10.495,0.08,0.38,9.79
2025-06-18 16:34:10.514,0.08,0.38,9.8
2025-06-18 16:34:10.532,0.08,0.38,9.79
2025-06-18 16:34:10.551,0.09,0.38,9.79
2025-06-18 16:34:10.569,0.08,0.38,9.79
2025-06-18 16:34:10.597,0.08,0.39,9.8
2025-06-18 16:34:10.616,0.08,0.39,9.79
2025-06-18 16:34:10.635,0.08,0.39,9.8
2025-06-18 16:34:10.653,0.08,0.38,9.79
2025-06-18 16:34:10.672,0.08,0.39,9.8
2025-06-18 16:34:10.690,0.08,0.39,9.79
2025-06-18 16:34:10.709,0.08,0.39,9.79
2025-06-18 16:34:10.737,0.09,0.39,9.8
2025-06-18 16:34:10.755,0.09,0.39,9.8
2025-06-18 16:34:10.774,0.08,0.38,9.79
2025-06-18 16:34:10.792,0.08,0.38,9.79
2025-06-18 16:34:10.811,0.08,0.38,9.79
2025-06-18 16:34:10.830,0.08,0.38,9.79
2025-06-18 16:34:10.876,0.08,0.39,9.8
2025-06-18 16:34:10.895,0.08,0.38,9.79
2025-06-18 16:34:10.932,0.08,0.39,9.79
2025-06-18 16:34:10.951,0.08,0.39,9.8
2025-06-18 16:34:10.979,0.08,0.38,9.79
2025-06-18 16:34:10.997,0.08,0.38,9.79
2025-06-18 16:34:11.160,0.08,0.38,9.79
2025-06-18 16:34:11.340,0.09,0.38,9.79
2025-06-18 16:34:11.530,0.09,0.39,9.8
2025-06-18 16:34:11.720,0.08,0.38,9.79
2025-06-18 16:34:11.118,0.08,0.38,9.79
2025-06-18 16:34:11.137,0.08,0.38,9.79
2025-06-18 16:34:11.155,0.08,0.38,9.79
2025-06-18 16:34:11.174,0.08,0.39,9.8
2025-06-18 16:34:11.220,0.08,0.39,9.79
2025-06-18 16:34:11.239,0.08,0.39,9.79
2025-06-18 16:34:11.277,0.08,0.38,9.79
2025-06-18 16:34:11.295,0.08,0.39,9.8
2025-06-18 16:34:11.314,0.08,0.38,9.8
2025-06-18 16:34:11.342,0.08,0.39,9.8
