Timestamp,LC1 Offset,LC2 Offset,LC3 Offset,LC4 Offset,LC5 Offset,LC6 Offset
2025-06-18 16:36:27.705,0.0,0.0,0.0,0.0,0.0,0.0
Timestamp,LC1 Offset,LC2 Offset,LC3 Offset,LC4 Offset,LC5 Offset,LC6 Offset
2025-06-18 16:39:51.705,0.0,0.0,0.0,0.0,0.0,0.0
Timestamp,LC1 Offset,LC2 Offset,LC3 Offset,LC4 Offset,LC5 Offset,LC6 Offset
2025-06-18 16:41:09.277,0.0,0.0,0.0,0.0,0.0,0.0
Timestamp,LC1 Offset,LC2 Offset,LC3 Offset,LC4 Offset,LC5 Offset,LC6 Offset
2025-06-18 16:49:55.866,0.0,0.0,0.0,0.0,0.0,0.0
Timestamp,LC1 Offset,LC2 Offset,LC3 Offset,LC4 Offset,LC5 Offset,LC6 Offset
2025-06-18 16:50:03.647,-0.027799999999999825,0.10030000000000072,-0.02430000000000021,-0.1198999999999999,-0.021400000000000086,0.0809
Timestamp,LC1 Offset,LC2 Offset,LC3 Offset,LC4 Offset,LC5 Offset,LC6 Offset
2025-06-18 16:50:11.972,0.08999999999999986,-0.09999999999999964,0.09999999999999964,0.04999999999999982,0.1100000000000001,0.04000000000000001
Timestamp,LC1 Offset,LC2 Offset,LC3 Offset,LC4 Offset,LC5 Offset,LC6 Offset
2025-06-18 16:53:39.602,0.0,0.0,0.0,0.0,0.0,0.0
